Designator,Mid X,Mid Y,Rotation,Layer
C1,132.49999956720228,-60.74999958887558,338.2,top
C4,137.35,-56.8,0.0,top
D1,104.2786560875976,-39.003771998209515,152.0,top
D10,119.87554990470811,-87.19034960192974,27.7,top
D11,112.2889341952953,-81.50037296025074,6.8,top
D12,100.08841641231251,-82.84596981887407,6.6,top
D13,89.09297450822308,-85.63486643784151,41.1,top
D14,78.04297450822308,-95.7848664378415,41.1,top
D15,76.6,-86.72,270.0,top
D16,73.75020387007575,-77.7562059283563,312.0,top
D17,68.22672620061289,-69.82870081271979,165.0,top
D18,81.33,-73.15,0.0,top
D19,87.7336592643019,-69.22287655723889,50.0,top
D2,117.52865655706917,-46.05377111526192,152.0,top
D20,89.15,-61.25,0.0,top
D3,125.30962718318789,-46.52271365076684,192.4,top
D4,135.37082299986125,-48.6783628488512,158.2,top
D5,143.27082299986125,-51.6783628488512,158.2,top
D6,145.44218033975275,-59.17996277909759,50.5,top
D7,139.14218033975277,-66.3799627790976,50.5,top
D8,131.85563181707906,-71.55074696257381,25.7,top
D9,122.49964305157437,-78.78391498615892,85.5,top
J1,129.7656345820236,-51.456590628398104,20.0,top
R1,130.3500000004163,-65.3500004534464,338.2,top
R2,119.06,-67.2,0.0,top
R3,84.75000079290572,-79.50000067171669,50.0,top
RV1,123.09,-72.05,0.0,top
U1,121.75469769157249,-56.49828948114365,20.0,top
U2,104.88604834728407,-60.152056959359506,290.0,top
U3,103.68604934728408,-72.10205695935952,290.0,top
